event_type, timeStamp, idSession, level, playerButton, levelButton, distanceToNote, numNote, score, maxCombo, comboTime, input, lastNote, dialogLine
LOG_EVENT, Sat 2021-06-05 14:51:44, 321489216
INPUT_EVENT, Sat 2021-06-05 14:51:58, 321489216, 14, lDown, lDown, 7.650000, 1
INPUT_EVENT, Sat 2021-06-05 14:51:58, 321489216, 14, rDown, rDown, 9.562500, 2
INPUT_EVENT, Sat 2021-06-05 14:51:59, 321489216, 14, lLeft, lLeft, 4.143750, 3
INPUT_EVENT, Sat 2021-06-05 14:51:59, 321489216, 14, rRight, rRight, 19.443750, 4
INPUT_EVENT, Sat 2021-06-05 14:51:59, 321489216, 14, lRight, lRight, 0.318750, 5
INPUT_EVENT, Sat 2021-06-05 14:52:00, 321489216, 14, rLeft, rLeft, 9.881250, 6
INPUT_EVENT, Sat 2021-06-05 14:52:00, 321489216, 14, lLeft, lLeft, 1.593750, 7
INPUT_EVENT, Sat 2021-06-05 14:52:00, 321489216, 14, rRight, rRight, 7.650000, 8
INPUT_EVENT, Sat 2021-06-05 14:52:01, 321489216, 14, rLeft, lRight, 1.912500, 9
INPUT_EVENT, Sat 2021-06-05 14:52:01, 321489216, 14, rLeft, rLeft, 1.912500, 10
INPUT_EVENT, Sat 2021-06-05 14:52:01, 321489216, 14, lUp, lUp, 4.143750, 11
INPUT_EVENT, Sat 2021-06-05 14:52:01, 321489216, 14, rUp, rUp, 0.000000, 12
INPUT_EVENT, Sat 2021-06-05 14:52:02, 321489216, 14, lLeft, lLeft, 15.618750, 13
INPUT_EVENT, Sat 2021-06-05 14:52:02, 321489216, 14, lLeft, lLeft, 9.562500, 14
INPUT_EVENT, Sat 2021-06-05 14:52:02, 321489216, 14, rRight, rRight, 3.825000, 15
INPUT_EVENT, Sat 2021-06-05 14:52:03, 321489216, 14, rRight, rRight, 15.618750, 16
INPUT_EVENT, Sat 2021-06-05 14:52:03, 321489216, 14, lUp, lUp, 7.650000, 17
INPUT_EVENT, Sat 2021-06-05 14:52:03, 321489216, 14, lUp, lUp, 15.300000, 18
INPUT_EVENT, Sat 2021-06-05 14:52:04, 321489216, 14, rUp, rUp, 1.912500, 19
INPUT_EVENT, Sat 2021-06-05 14:52:04, 321489216, 14, rUp, rUp, 1.912500, 20
INPUT_EVENT, Sat 2021-06-05 14:52:04, 321489216, 14, lDown, lDown, 4.143750, 21
INPUT_EVENT, Sat 2021-06-05 14:52:04, 321489216, 14, rDown, rDown, 1.912500, 22
INPUT_EVENT, Sat 2021-06-05 14:52:05, 321489216, 14, lLeft, lLeft, 9.881250, 23
INPUT_EVENT, Sat 2021-06-05 14:52:05, 321489216, 14, rRight, rRight, 11.475000, 24
INPUT_EVENT, Sat 2021-06-05 14:52:06, 321489216, 14, lRight, lRight, 15.618750, 25
INPUT_EVENT, Sat 2021-06-05 14:52:06, 321489216, 14, rLeft, rLeft, 21.037500, 26
INPUT_EVENT, Sat 2021-06-05 14:52:06, 321489216, 14, lLeft, lLeft, 4.143750, 27
INPUT_EVENT, Sat 2021-06-05 14:52:07, 321489216, 14, rRight, rRight, 9.562500, 28
INPUT_EVENT, Sat 2021-06-05 14:52:07, 321489216, 14, lRight, lRight, 7.650000, 29
INPUT_EVENT, Sat 2021-06-05 14:52:07, 321489216, 14, rLeft, rLeft, 1.912500, 30
INPUT_EVENT, Sat 2021-06-05 14:52:07, 321489216, 14, lUp, lUp, 7.650000, 31
INPUT_EVENT, Sat 2021-06-05 14:52:07, 321489216, 14, rUp, rUp, 0.318750, 32
INPUT_EVENT, Sat 2021-06-05 14:52:08, 321489216, 14, lLeft, lLeft, 3.825000, 33
INPUT_EVENT, Sat 2021-06-05 14:52:08, 321489216, 14, lLeft, lLeft, 7.968750, 34
INPUT_EVENT, Sat 2021-06-05 14:52:09, 321489216, 14, rLeft, rLeft, 9.881250, 35
INPUT_EVENT, Sat 2021-06-05 14:52:09, 321489216, 14, rLeft, rLeft, 5.737500, 36
INPUT_EVENT, Sat 2021-06-05 14:52:09, 321489216, 14, lDown, lDown, 17.212500, 37
INPUT_EVENT, Sat 2021-06-05 14:52:09, 321489216, 14, rUp, rUp, 24.862499, 38
INPUT_EVENT, Sat 2021-06-05 14:52:10, 321489216, 14, lLeft, lLeft, 5.737500, 39
INPUT_EVENT, Sat 2021-06-05 14:52:10, 321489216, 14, lLeft, lLeft, 11.793750, 40
INPUT_EVENT, Sat 2021-06-05 14:52:11, 321489216, 14, lUp, lUp, 11.475000, 41
INPUT_EVENT, Sat 2021-06-05 14:52:11, 321489216, 14, rUp, rUp, 13.387500, 42
INPUT_EVENT, Sat 2021-06-05 14:52:11, 321489216, 14, rRight, rRight, 1.912500, 43
INPUT_EVENT, Sat 2021-06-05 14:52:11, 321489216, 14, rRight, rRight, 15.618750, 44
INPUT_EVENT, Sat 2021-06-05 14:52:12, 321489216, 14, lDown, lDown, 7.968750, 45
INPUT_EVENT, Sat 2021-06-05 14:52:12, 321489216, 14, rUp, rUp, 11.793750, 46
INPUT_EVENT, Sat 2021-06-05 14:52:12, 321489216, 14, lLeft, lLeft, 7.650000, 47
INPUT_EVENT, Sat 2021-06-05 14:52:13, 321489216, 14, rLeft, rLeft, 7.650000, 48
INPUT_EVENT, Sat 2021-06-05 14:52:13, 321489216, 14, lRight, lRight, 11.475000, 49
INPUT_EVENT, Sat 2021-06-05 14:52:14, 321489216, 14, rRight, rRight, 0.318750, 50
INPUT_EVENT, Sat 2021-06-05 14:52:14, 321489216, 14, lUp, lUp, 17.212500, 51
INPUT_EVENT, Sat 2021-06-05 14:52:14, 321489216, 14, rUp, rUp, 5.737500, 52
INPUT_EVENT, Sat 2021-06-05 14:52:15, 321489216, 14, lDown, lDown, 9.562500, 53
INPUT_EVENT, Sat 2021-06-05 14:52:15, 321489216, 14, rDown, rDown, 11.793750, 54
INPUT_EVENT, Sat 2021-06-05 14:52:16, 321489216, 14, rLeft, lLeft, 1.912500, 55
INPUT_EVENT, Sat 2021-06-05 14:52:16, 321489216, 14, rLeft, rLeft, 1.912500, 56
INPUT_EVENT, Sat 2021-06-05 14:52:16, 321489216, 14, lLeft, lLeft, 1.912500, 57
INPUT_EVENT, Sat 2021-06-05 14:52:16, 321489216, 14, rLeft, rLeft, 3.825000, 58
INPUT_EVENT, Sat 2021-06-05 14:52:17, 321489216, 14, rRight, lRight, 11.475000, 59
INPUT_EVENT, Sat 2021-06-05 14:52:17, 321489216, 14, rRight, rRight, 11.475000, 60
INPUT_EVENT, Sat 2021-06-05 14:52:18, 321489216, 14, lRight, lRight, 5.737500, 61
INPUT_EVENT, Sat 2021-06-05 14:52:18, 321489216, 14, rRight, rRight, 9.562500, 62
INPUT_EVENT, Sat 2021-06-05 14:52:18, 321489216, 14, lDown, lDown, 5.737500, 63
INPUT_EVENT, Sat 2021-06-05 14:52:18, 321489216, 14, rDown, rDown, 9.562500, 64
INPUT_EVENT, Sat 2021-06-05 14:52:19, 321489216, 14, rUp, rUp, 6.056250, 65
INPUT_EVENT, Sat 2021-06-05 14:52:19, 321489216, 14, rUp, lUp, 3.825000, 66
INPUT_EVENT, Sat 2021-06-05 14:52:19, 321489216, 14, lRight, lDown, 30.918751, 67
INPUT_EVENT, Sat 2021-06-05 14:52:19, 321489216, 14, rLeft, rLeft, 32.831249, 68
INPUT_EVENT, Sat 2021-06-05 14:52:20, 321489216, 14, rDown, lUp, 17.212500, 69
INPUT_EVENT, Sat 2021-06-05 14:52:20, 321489216, 14, rDown, rDown, 17.212500, 70
INPUT_EVENT, Sat 2021-06-05 14:52:21, 321489216, 14, lDown, lDown, 13.706250, 71
INPUT_EVENT, Sat 2021-06-05 14:52:21, 321489216, 14, rDown, rDown, 7.968750, 72
INPUT_EVENT, Sat 2021-06-05 14:52:21, 321489216, 14, lDown, lDown, 21.356251, 73
INPUT_EVENT, Sat 2021-06-05 14:52:21, 321489216, 14, rDown, rDown, 11.793750, 74
INPUT_EVENT, Sat 2021-06-05 14:52:21, 321489216, 14, lUp, lUp, 13.706250, 75
INPUT_EVENT, Sat 2021-06-05 14:52:21, 321489216, 14, rUp, rUp, 6.056250, 76
INPUT_EVENT, Sat 2021-06-05 14:52:21, 321489216, 14, lUp, lUp, 23.268749, 77
INPUT_EVENT, Sat 2021-06-05 14:52:21, 321489216, 14, rUp, rUp, 19.443750, 78
INPUT_EVENT, Sat 2021-06-05 14:52:22, 321489216, 14, lLeft, lLeft, 5.737500, 79
INPUT_EVENT, Sat 2021-06-05 14:52:22, 321489216, 14, lRight, lRight, 1.912500, 80
INPUT_EVENT, Sat 2021-06-05 14:52:22, 321489216, 14, lUp, lUp, 11.793750, 81
INPUT_EVENT, Sat 2021-06-05 14:52:23, 321489216, 14, lDown, lDown, 1.912500, 82
INPUT_EVENT, Sat 2021-06-05 14:52:23, 321489216, 14, rDown, rDown, 27.093750, 83
INPUT_EVENT, Sat 2021-06-05 14:52:23, 321489216, 14, rRight, rRight, 24.862499, 84
INPUT_EVENT, Sat 2021-06-05 14:52:24, 321489216, 14, rLeft, rLeft, 15.300000, 85
INPUT_EVENT, Sat 2021-06-05 14:52:24, 321489216, 14, rUp, rUp, 36.656250, 86
INPUT_EVENT, Sat 2021-06-05 14:52:24, 321489216, 14, rDown, lDown, 5.737500, 87
INPUT_EVENT, Sat 2021-06-05 14:52:24, 321489216, 14, rDown, rDown, 5.737500, 88
INPUT_EVENT, Sat 2021-06-05 14:52:25, 321489216, 14, lLeft, lLeft, 7.968750, 89
INPUT_EVENT, Sat 2021-06-05 14:52:25, 321489216, 14, rLeft, rLeft, 6.056250, 90
INPUT_EVENT, Sat 2021-06-05 14:52:25, 321489216, 14, lLeft, lLeft, 21.356251, 91
INPUT_EVENT, Sat 2021-06-05 14:52:25, 321489216, 14, rLeft, rLeft, 13.706250, 92
INPUT_EVENT, Sat 2021-06-05 14:52:26, 321489216, 14, lUp, lUp, 3.825000, 93
INPUT_EVENT, Sat 2021-06-05 14:52:26, 321489216, 14, rUp, rUp, 5.737500, 94
INPUT_EVENT, Sat 2021-06-05 14:52:27, 321489216, 14, lUp, lUp, 2.231250, 95
INPUT_EVENT, Sat 2021-06-05 14:52:27, 321489216, 14, rUp, rUp, 1.912500, 96
INPUT_EVENT, Sat 2021-06-05 14:52:27, 321489216, 14, lRight, lRight, 11.475000, 97
INPUT_EVENT, Sat 2021-06-05 14:52:27, 321489216, 14, rRight, rRight, 15.300000, 98
INPUT_EVENT, Sat 2021-06-05 14:52:27, 321489216, 14, lRight, lRight, 2.231250, 99
INPUT_EVENT, Sat 2021-06-05 14:52:27, 321489216, 14, rRight, rRight, 1.912500, 100
INPUT_EVENT, Sat 2021-06-05 14:52:28, 321489216, 14, lDown, lDown, 1.912500, 101
INPUT_EVENT, Sat 2021-06-05 14:52:28, 321489216, 14, rDown, rDown, 5.737500, 102
INPUT_EVENT, Sat 2021-06-05 14:52:28, 321489216, 14, rDown, lDown, 9.881250, 103
INPUT_EVENT, Sat 2021-06-05 14:52:28, 321489216, 14, rDown, rDown, 9.881250, 104
INPUT_EVENT, Sat 2021-06-05 14:52:29, 321489216, 14, rUp, rUp, 9.562500, 105
INPUT_EVENT, Sat 2021-06-05 14:52:29, 321489216, 14, rUp, lUp, 11.475000, 106
INPUT_EVENT, Sat 2021-06-05 14:52:29, 321489216, 14, rUp, lUp, 1.912500, 107
INPUT_EVENT, Sat 2021-06-05 14:52:29, 321489216, 14, rUp, rUp, 1.912500, 108
INPUT_EVENT, Sat 2021-06-05 14:52:31, 321489216, 14, lUp, lUp, 13.387500, 109
INPUT_EVENT, Sat 2021-06-05 14:52:31, 321489216, 14, rUp, rUp, 1.912500, 110
INPUT_EVENT, Sat 2021-06-05 14:52:31, 321489216, 14, lUp, lUp, 19.125000, 111
INPUT_EVENT, Sat 2021-06-05 14:52:31, 321489216, 14, rUp, rUp, 6.056250, 112
INPUT_EVENT, Sat 2021-06-05 14:52:32, 321489216, 14, lUp, lUp, 9.562500, 113
INPUT_EVENT, Sat 2021-06-05 14:52:32, 321489216, 14, rUp, rUp, 2.231250, 114
INPUT_EVENT, Sat 2021-06-05 14:52:32, 321489216, 14, lUp, lUp, 5.737500, 115
INPUT_EVENT, Sat 2021-06-05 14:52:32, 321489216, 14, rUp, rUp, 1.912500, 116
INPUT_EVENT, Sat 2021-06-05 14:52:33, 321489216, 14, rRight, rRight, 6.056250, 117
INPUT_EVENT, Sat 2021-06-05 14:52:33, 321489216, 14, rRight, rRight, 11.793750, 118
INPUT_EVENT, Sat 2021-06-05 14:52:33, 321489216, 14, lUp, lUp, 3.825000, 119
INPUT_EVENT, Sat 2021-06-05 14:52:34, 321489216, 14, lUp, lUp, 3.825000, 120
INPUT_EVENT, Sat 2021-06-05 14:52:34, 321489216, 14, rUp, rUp, 9.562500, 121
INPUT_EVENT, Sat 2021-06-05 14:52:34, 321489216, 14, rUp, rUp, 5.737500, 122
INPUT_EVENT, Sat 2021-06-05 14:52:35, 321489216, 14, lDown, lDown, 3.825000, 123
INPUT_EVENT, Sat 2021-06-05 14:52:35, 321489216, 14, rDown, rDown, 7.650000, 124
INPUT_EVENT, Sat 2021-06-05 14:52:36, 321489216, 14, rUp, lDown, 5.737500, 125
INPUT_EVENT, Sat 2021-06-05 14:52:36, 321489216, 14, rUp, rUp, 5.737500, 126
INPUT_EVENT, Sat 2021-06-05 14:52:37, 321489216, 14, lLeft, lLeft, 11.475000, 127
INPUT_EVENT, Sat 2021-06-05 14:52:37, 321489216, 14, rLeft, rLeft, 15.300000, 128
INPUT_EVENT, Sat 2021-06-05 14:52:37, 321489216, 14, lLeft, lLeft, 0.000000, 129
INPUT_EVENT, Sat 2021-06-05 14:52:37, 321489216, 14, rLeft, rLeft, 5.737500, 130
INPUT_EVENT, Sat 2021-06-05 14:52:37, 321489216, 14, lLeft, lLeft, 9.881250, 131
INPUT_EVENT, Sat 2021-06-05 14:52:37, 321489216, 14, rLeft, rLeft, 4.143750, 132
INPUT_EVENT, Sat 2021-06-05 14:52:38, 321489216, 14, lRight, lRight, 11.793750, 133
INPUT_EVENT, Sat 2021-06-05 14:52:38, 321489216, 14, rRight, rRight, 9.562500, 134
INPUT_EVENT, Sat 2021-06-05 14:52:38, 321489216, 14, rRight, lRight, 21.356251, 135
INPUT_EVENT, Sat 2021-06-05 14:52:38, 321489216, 14, rRight, rRight, 21.356251, 136
INPUT_EVENT, Sat 2021-06-05 14:52:38, 321489216, 14, rDown, lDown, 25.181250, 137
INPUT_EVENT, Sat 2021-06-05 14:52:38, 321489216, 14, rDown, rDown, 25.181250, 138
INPUT_EVENT, Sat 2021-06-05 14:52:38, 321489216, 14, rDown, lDown, 35.062500, 139
INPUT_EVENT, Sat 2021-06-05 14:52:38, 321489216, 14, rDown, rDown, 35.062500, 140
INPUT_EVENT, Sat 2021-06-05 14:52:38, 321489216, 14, rUp, lUp, 27.093750, 141
INPUT_EVENT, Sat 2021-06-05 14:52:38, 321489216, 14, rUp, rUp, 27.093750, 142
INPUT_EVENT, Sat 2021-06-05 14:52:38, 321489216, 14, rUp, rUp, 38.887501, 143
INPUT_EVENT, Sat 2021-06-05 14:52:38, 321489216, 14, rUp, lUp, 32.831249, 144
INPUT_EVENT, Sat 2021-06-05 14:52:40, 321489216, 14, lRight, lRight, 7.650000, 145
INPUT_EVENT, Sat 2021-06-05 14:52:41, 321489216, 14, rRight, rRight, 5.737500, 146
INPUT_EVENT, Sat 2021-06-05 14:52:41, 321489216, 14, lRight, lRight, 3.825000, 147
INPUT_EVENT, Sat 2021-06-05 14:52:41, 321489216, 14, rLeft, rLeft, 30.918751, 148
INPUT_EVENT, Sat 2021-06-05 14:52:42, 321489216, 14, lLeft, lLeft, 5.737500, 149
INPUT_EVENT, Sat 2021-06-05 14:52:42, 321489216, 14, rRight, rRight, 11.475000, 150
INPUT_EVENT, Sat 2021-06-05 14:52:42, 321489216, 14, rLeft, lRight, 1.912500, 151
INPUT_EVENT, Sat 2021-06-05 14:52:42, 321489216, 14, rLeft, rLeft, 1.912500, 152
INPUT_EVENT, Sat 2021-06-05 14:52:43, 321489216, 14, lUp, lUp, 11.793750, 153
INPUT_EVENT, Sat 2021-06-05 14:52:43, 321489216, 14, rUp, rUp, 5.737500, 154
INPUT_EVENT, Sat 2021-06-05 14:52:43, 321489216, 14, lLeft, lLeft, 11.475000, 155
INPUT_EVENT, Sat 2021-06-05 14:52:44, 321489216, 14, lLeft, lLeft, 1.912500, 156
INPUT_EVENT, Sat 2021-06-05 14:52:44, 321489216, 14, rRight, rRight, 1.912500, 157
INPUT_EVENT, Sat 2021-06-05 14:52:44, 321489216, 14, rRight, rRight, 7.968750, 158
INPUT_EVENT, Sat 2021-06-05 14:52:45, 321489216, 14, lUp, lUp, 9.562500, 159
INPUT_EVENT, Sat 2021-06-05 14:52:45, 321489216, 14, lUp, lUp, 1.912500, 160
INPUT_EVENT, Sat 2021-06-05 14:52:46, 321489216, 14, lDown, lDown, 1.912500, 161
INPUT_EVENT, Sat 2021-06-05 14:52:46, 321489216, 14, rUp, rUp, 7.650000, 162
INPUT_EVENT, Sat 2021-06-05 14:52:47, 321489216, 14, lLeft, lLeft, 5.737500, 163
INPUT_EVENT, Sat 2021-06-05 14:52:47, 321489216, 14, rRight, rRight, 3.825000, 164
INPUT_EVENT, Sat 2021-06-05 14:52:47, 321489216, 14, lRight, lRight, 9.562500, 165
INPUT_EVENT, Sat 2021-06-05 14:52:48, 321489216, 14, rLeft, rLeft, 9.881250, 166
INPUT_EVENT, Sat 2021-06-05 14:52:48, 321489216, 14, lLeft, lLeft, 5.737500, 167
INPUT_EVENT, Sat 2021-06-05 14:52:48, 321489216, 14, rRight, rRight, 32.831249, 168
INPUT_EVENT, Sat 2021-06-05 14:52:49, 321489216, 14, lRight, lRight, 21.356251, 169
INPUT_EVENT, Sat 2021-06-05 14:52:49, 321489216, 14, rLeft, rLeft, 13.706250, 170
INPUT_EVENT, Sat 2021-06-05 14:52:49, 321489216, 14, lUp, lUp, 17.531250, 171
INPUT_EVENT, Sat 2021-06-05 14:52:49, 321489216, 14, rUp, rUp, 9.881250, 172
INPUT_EVENT, Sat 2021-06-05 14:52:50, 321489216, 14, lLeft, lLeft, 1.912500, 173
INPUT_EVENT, Sat 2021-06-05 14:52:50, 321489216, 14, lLeft, lLeft, 9.881250, 174
INPUT_EVENT, Sat 2021-06-05 14:52:50, 321489216, 14, rRight, rRight, 5.737500, 175
INPUT_EVENT, Sat 2021-06-05 14:52:51, 321489216, 14, rRight, rRight, 13.706250, 176
INPUT_EVENT, Sat 2021-06-05 14:52:51, 321489216, 14, lUp, lUp, 5.737500, 177
INPUT_EVENT, Sat 2021-06-05 14:52:51, 321489216, 14, lUp, lUp, 5.737500, 178
INPUT_EVENT, Sat 2021-06-05 14:52:52, 321489216, 14, lDown, lDown, 0.000000, 179
INPUT_EVENT, Sat 2021-06-05 14:52:52, 321489216, 14, rUp, rUp, 5.737500, 180
INPUT_EVENT, Sat 2021-06-05 14:52:54, 321489216, 14, rDown, lLeft, 5.737500, 181
INPUT_EVENT, Sat 2021-06-05 14:52:54, 321489216, 14, rDown, rDown, 5.737500, 182
INPUT_EVENT, Sat 2021-06-05 14:52:54, 321489216, 14, lLeft, lLeft, 15.618750, 183
INPUT_EVENT, Sat 2021-06-05 14:52:54, 321489216, 14, rDown, rDown, 9.881250, 184
INPUT_EVENT, Sat 2021-06-05 14:52:55, 321489216, 14, lLeft, lLeft, 23.268749, 185
INPUT_EVENT, Sat 2021-06-05 14:52:55, 321489216, 14, rDown, rDown, 13.706250, 186
INPUT_EVENT, Sat 2021-06-05 14:52:55, 321489216, 14, lLeft, lLeft, 34.743752, 187
INPUT_EVENT, Sat 2021-06-05 14:52:55, 321489216, 14, rDown, rDown, 29.006250, 188
INPUT_EVENT, Sat 2021-06-05 14:52:56, 321489216, 14, lRight, lRight, 5.737500, 189
INPUT_EVENT, Sat 2021-06-05 14:52:56, 321489216, 14, rRight, rRight, 9.562500, 190
INPUT_EVENT, Sat 2021-06-05 14:52:56, 321489216, 14, lRight, lRight, 1.912500, 191
INPUT_EVENT, Sat 2021-06-05 14:52:56, 321489216, 14, rRight, rRight, 9.562500, 192
INPUT_EVENT, Sat 2021-06-05 14:52:56, 321489216, 14, lRight, lRight, 7.968750, 193
INPUT_EVENT, Sat 2021-06-05 14:52:56, 321489216, 14, rRight, rRight, 1.912500, 194
INPUT_EVENT, Sat 2021-06-05 14:52:56, 321489216, 14, lRight, lRight, 17.531250, 195
INPUT_EVENT, Sat 2021-06-05 14:52:56, 321489216, 14, rRight, rRight, 9.881250, 196
INPUT_EVENT, Sat 2021-06-05 14:52:58, 321489216, 14, lUp, lUp, 9.881250, 197
INPUT_EVENT, Sat 2021-06-05 14:52:58, 321489216, 14, rLeft, rLeft, 5.737500, 198
INPUT_EVENT, Sat 2021-06-05 14:52:58, 321489216, 14, lUp, lUp, 13.706250, 199
INPUT_EVENT, Sat 2021-06-05 14:52:58, 321489216, 14, rLeft, rLeft, 7.968750, 200
INPUT_EVENT, Sat 2021-06-05 14:52:58, 321489216, 14, lUp, lUp, 5.737500, 201
INPUT_EVENT, Sat 2021-06-05 14:52:58, 321489216, 14, rLeft, rLeft, 1.912500, 202
INPUT_EVENT, Sat 2021-06-05 14:52:58, 321489216, 14, lUp, lUp, 3.825000, 203
INPUT_EVENT, Sat 2021-06-05 14:52:58, 321489216, 14, rLeft, rLeft, 1.912500, 204
INPUT_EVENT, Sat 2021-06-05 14:52:58, 321489216, 14, rLeft, lUp, 1.912500, 205
INPUT_EVENT, Sat 2021-06-05 14:52:58, 321489216, 14, rLeft, rLeft, 1.912500, 206
INPUT_EVENT, Sat 2021-06-05 14:52:59, 321489216, 14, lUp, lUp, 5.737500, 207
INPUT_EVENT, Sat 2021-06-05 14:52:59, 321489216, 14, rLeft, rLeft, 1.912500, 208
INPUT_EVENT, Sat 2021-06-05 14:52:59, 321489216, 14, lUp, lUp, 5.737500, 209
INPUT_EVENT, Sat 2021-06-05 14:52:59, 321489216, 14, rLeft, rLeft, 1.912500, 210
INPUT_EVENT, Sat 2021-06-05 14:52:59, 321489216, 14, lUp, lUp, 7.968750, 211
INPUT_EVENT, Sat 2021-06-05 14:52:59, 321489216, 14, rLeft, rLeft, 3.825000, 212
INPUT_EVENT, Sat 2021-06-05 14:52:59, 321489216, 14, lUp, lUp, 11.793750, 213
INPUT_EVENT, Sat 2021-06-05 14:52:59, 321489216, 14, rLeft, rLeft, 6.056250, 214
INPUT_EVENT, Sat 2021-06-05 14:52:59, 321489216, 14, lUp, lUp, 13.706250, 215
INPUT_EVENT, Sat 2021-06-05 14:52:59, 321489216, 14, rLeft, rLeft, 7.968750, 216
LEVEL_EVENT, Sat 2021-06-05 14:53:01, 321489216, 14, , , , , 901390, 226, 428148.000000, PS4_INPUT
